Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
6764612,8014129,42663.0,1404.0,44067.0,0.0013322830200195312
6764297,8384311,26734.0,732.0,27466.0,0.0013265609741210938
6764533,8685088,48339.0,1709.0,50048.0,0.0013523101806640625
6765074,7607763,22583.0,733.0,23316.0,0.0013575553894042969
6764617,7216243,45349.0,1221.0,46570.0,0.0013728141784667969
6765708,7883266,22522.0,488.0,23010.0,0.0013337135314941406
6765599,7853893,23743.0,488.0,24231.0,0.001333475112915039
6765550,7440889,48095.0,977.0,49072.0,0.0013189315795898438
6766832,8753383,20935.0,366.0,21301.0,0.0013425350189208984
6767464,8810229,48462.0,1221.0,49683.0,0.0013928413391113281
6766682,6940160,19653.0,427.0,20080.0,0.001325845718383789
6768418,7309264,43518.0,915.0,44433.0,0.001340627670288086
6768801,7111779,28382.0,489.0,28871.0,0.001318216323852539
6768986,8352716,22888.0,488.0,23376.0,0.0013613700866699219
6770208,8947736,46875.0,915.0,47790.0,0.0013723373413085938
6770962,5714259,26245.0,489.0,26734.0,0.0013248920440673828
6770871,5189558,46447.0,976.0,47423.0,0.0013284683227539062
6772416,4789912,26367.0,611.0,26978.0,0.0013499259948730469
6771840,4751116,38880.0,854.0,39734.0,0.0013396739959716797
6771594,4623009,23925.0,488.0,24413.0,0.0013375282287597656
6772411,4602734,26429.0,550.0,26979.0,0.0013501644134521484
6772961,4587702,49743.0,976.0,50719.0,0.0013208389282226562
6772341,4571375,22034.0,427.0,22461.0,0.0013189315795898438
6773390,4603153,42053.0,977.0,43030.0,0.001367330551147461
6774129,4570253,23376.0,610.0,23986.0,0.0013706684112548828
6774028,4721832,24536.0,428.0,24964.0,0.0013813972473144531
6774756,4634310,44983.0,1037.0,46020.0,0.0013270378112792969
6775656,4585274,24475.0,427.0,24902.0,0.0013148784637451172
6775607,4569158,45715.0,977.0,46692.0,0.0013172626495361328
6777047,4579184,30518.0,610.0,31128.0,0.0013606548309326172
6777415,4635446,40588.0,916.0,41504.0,0.0013606548309326172
6777428,4634615,22583.0,488.0,23071.0,0.001323699951171875
6778942,4709112,25452.0,427.0,25879.0,0.0013194084167480469
6779708,4623414,22095.0,427.0,22522.0,0.0013153553009033203
